用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
85,教学综合信息服务平台,毕业生管理,,课堂视频的完整上传,已登录，进入上传视频页面,1. 输入课堂名字     2.输入 课堂描述    3.输入课堂简介    4.选择课堂类型    5.选择项目封面    6.选择视频           7.点击提交  ,"1. 显示输入的课堂名字        2.显示输入的课堂描述        3.显示输入的课堂简介        4.显示选择的课堂类型        5.显示上传的课堂封面        6.显示上传的视频7.显示提交成功
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/11/28,,0000-00-00,1,
86,教学综合信息服务平台,毕业生管理,,课堂视频的不写名字的上传,已登录，进入上传视频页面,1. 不输入课堂名字     2.输入课堂描述    3.输入课堂简介    4.选择课堂类型    5.选择项目封面    6.选择视频           7.点击提交  ,"1.            2.显示输入的课堂描述        3.显示输入的课堂简介        4.显示选择的课堂类型        5.显示上传的课堂封面        6.显示上传的视频7.提示课堂名字不能为空
",,,3,功能测试,,正常,0,1,7,通过,杨凯静,2018/11/28,杨凯静,2018/12/5,4,
87,教学综合信息服务平台,毕业生管理,,课堂视频的不写描述的上传,已登录，进入上传视频页面,1. 输入课堂名字     2.不输入课堂描述    3.输入课堂简介    4.选择课堂类型    5.选择项目封面    6.选择视频           7.点击提交  ,"1.            2.显示输入的课堂描述        3.显示输入的课堂简介        4.显示选择的课堂类型        5.显示上传的课堂封面        6.显示上传的视频7.提示上传成功
",,,3,功能测试,,正常,0,1,8,通过,杨凯静,2018/11/28,杨凯静,2018/12/5,2,
88,教学综合信息服务平台,毕业生管理,,课堂视频的不写简介的上传,已登录，进入上传视频页面,1. 输入课堂名字     2.输入课堂描述    3.不输入课堂简介    4.选择课堂类型    5.选择项目封面    6.选择视频           7.点击提交  ,"1.显示输入的课堂名字        2.显示输入的课堂描述        3.            4.显示选择的课堂类型        5.显示上传的课堂封面        6.显示上传的视频7.提示简介不能为空
","1. 
2. 
3. 
4. 
5. 
",,3,功能测试,,正常,1,1,5,通过,杨凯静,2018/11/28,杨凯静,2018/12/5,3,
89,教学综合信息服务平台,毕业生管理,,课堂视频的没有封面的上传,已登录，进入上传视频页面,1. 输入课堂名字     2.输入课堂描述    3.输入课堂简介    4.选择课堂类型    5.不选择项目封面    6.选择视频           7.点击提交  ,"1.显示输入的课堂名字        2.显示输入的课堂描述        3.显示输入的课堂简介        4.显示选择的课堂类型        5.显示未选择文件 6.显示上传的视频7.提示上传成功
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/28,杨凯静,2018/12/5,2,
90,教学综合信息服务平台,毕业生管理,,课堂视频的不选视频的上传,已登录，进入上传视频页面,1. 输入课堂名字     2.输入课堂描述    3.输入课堂简介    4.选择课堂类型    5.选择项目封面    6.不选择视频           7.点击提交  ,"1.显示输入的课堂名字        2.显示输入的课堂描述        3.显示输入的课堂简介        4.显示选择的课堂类型        5.显示上传的课堂封面        6.显示未选择文件7.提示未提交视频
",,,3,功能测试,,正常,1,2,3,失败,杨凯静,2018/11/28,杨凯静,2018/12/5,3,
91,教学综合信息服务平台,毕业生管理,,探索毕业生管理模块的实习广场布局是否合理,已登录，处于毕业生管理模块,1. 点击上方菜单栏实习广场，查看页面布局的对齐情况以及大小分布情况,,,,3,功能测试,,正常,0,1,4,失败,杨凯静,2018/11/28,杨凯静,2018/11/28,2,
92,教学综合信息服务平台,毕业生管理,,探索毕业生管理模块的历年毕业生就业情况页面布局是否合理,已登录，处于毕业生管理模块,1. 点击上方菜单历年毕业生就业情况，查看页面布局的对齐情况以及大小分布情况,,"1. 
2. 
",,3,功能测试,,正常,1,1,2,失败,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
90,教学综合信息服务平台,毕业生管理,,探索毕业生管理模块横向菜单栏的切换功能,已登录，处于毕业生管理模块,"1. 点击横向菜单栏的历年毕业生就业情况
2.点击横向菜单栏的历年毕业生考研情况","1. 跳转到历年毕业生就业情况页面
2. 跳转到历年毕业生考研情况页面

",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
91,教学综合信息服务平台,毕业生管理,,验证历年毕业生就业情况切换功能,已登录，处于毕业生管理模块，处于历年毕业生就业情况页面,1.连续点击任一年份的毕业生就业情况按钮100次,1.页面不断进行刷新,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
92,教学综合信息服务平台,毕业生管理,,验证实习广场公司图标切换功能,已登录，处于毕业生管理模块，处于实习广场页面,1.连续点击任一公司图标按钮100次,1.该公司招聘信息页面不断进行刷新,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
93,教学综合信息服务平台,毕业生管理,,探索毕业生管理模块的学长学姐课堂页面布局是否合理,已登录，处于毕业生管理模块,1. 点击上方菜单栏实习广场，查看页面布局的是否美观以及合理,,,,3,功能测试,,正常,0,1,3,失败,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
94,教学综合信息服务平台,毕业生管理,,探索毕业生管理模块的退出功能,已登录，处于毕业生管理模块,1.点击退出按钮,1.退出登录并跳转到登录页面,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
95,教学综合信息服务平台,学生管理模块,,探索选课和查询课表的功能,已登录，处于学生管理模块,1.点击选课按钮，勾选任一学年任一学期任意周次的课程           2.点击查询课表按钮,1.所选择课程显示被勾选                   2.跳转到查询课表页面,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
96,教学综合信息服务平台,学生管理模块,,探索学生管理竖向菜单栏的切换功能,已登录，处于学生管理模块,1.依次点击竖向菜单栏的按钮,1.页面能够依次跳转,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
97,教学综合信息服务平台,学生管理模块,,探索提交修改功能,已登录，处于学生管理模块，个人中心页面,1.连续点击提交修改按钮100次,,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
98,教学综合信息服务平台,教师管理模块,,探索教师管理模块的调课申请页面布局是否合理,已登录，处于教师管理模块,1. 点击调课申请按钮，查看页面布局的对齐情况以及大小分布情况,,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
99,教学综合信息服务平台,教师管理模块,,探索教师管理竖向菜单栏的切换功能,已登录，处于教师管理模块,1.依次点击竖向菜单栏的按钮,1.页面能够依次跳转,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
100,教学综合信息服务平台,教师管理模块,,探索调课申请取消的功能,已登录，处于教师管理模块调课申请页面,1.点击任一课程的调课申请按钮        2.填写调课的星期教室理由3.点击竖向菜单栏的调课申请按钮,1.显示调课申请的课程安排页面        2.进入调课申请页面           3.跳转回调课申请的课程安排页面,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/6,3,
